news_date,news_text
2017 Dec 16,«صبح را با همشهری آغاز کنید» این جمله 25 سال پیش روی تابلوهای شهر نقش بست تا خبر از راه رسیدن روزنامه‌ای جدید را به شهروندان بدهد. روزنامه‌ای که ماموریتش ، تزریق امید و ترویج نشاط به جامعه بود. روزنامه‌ای که می‌خواست با شکل و رنگ جدید و با محتوای متفاوت، با اخبار کوتاه و با نگاه جدید به رویدادها، هر روز صبح به مردم لبخند بزند. اکنون 25 سال از عمر این روزنامه می‌گذرد و در آغاز سال بیست و ششم انتشار، همشهری به دنبال احیای ماموریت اولیه بنیانگذارانش، می‌خواهد همچنان در کنار شما مردم بماند.
2017 Dec 16,در آغاز بیست و ششمین سالگرد انتشار روزنامه همشهری مدیرعامل و جمعی از اعضای تحریریه مؤسسه همشهری صبح روز جمعه در جماران حضور یافته و ضمن تجدید میثاق با آرمان‌های امامره، با حجت‌الاسلام والمسلمین سیدحسن خمینی، یادگار گرامی امام خمینی ره دیدار و گفت‌وگو کردند.
2017 Dec 16,روزنامه همشهری تحولی در روزنامه‌نگاری ایران بود و الگوی مفهومی و معنایی رسانه را در ایران دگرگون کرد و تعریف دیگری را از روزنامه و روزنامه‌نگاری پیش کشید؛ تحول مفهومی در فرم از حیث شکل، قطع، رنگ و تحول محتوا از منظر روزنامه‌نگاری اجتماعی - شهری.
2017 Dec 16,در سومین روز از هفته پژوهش، سامانه ملی کارآموزی باهدف تسهیل درجایابی دانشجویان متقاضی دوره‌های کارآموزی در صنعت، با حضور رئیس سازمان پژوهش‌های علمی و صنعتی ایران، معاون آموزش، پژوهش و فناوری وزارت صنعت، معدن و تجارت و یکی از اعضای کمیسیون فرهنگی مجلس راه‌اندازی شد. طراحی این سامانه براساس تفاهم بین وزارتخانه‌های علوم و صنعت، معدن و تجارت انجام شده که از طرف وزارت علوم، سازمان پژوهش‌های علمی و صنعتی مجری طرح است.
2017 Dec 16,با توافق صورت گرفته بین اعضای سندیکای کارگران و هیأت‌مدیره کارخانه صنعتی کشت و صنعت نیشکر هفت‌تپه؛ اعتصاب کارگران این کارخانه به پایان رسید
2017 Dec 16,همایش «چشم‌انداز شهر تهران در افق برنامه پنج‌ساله سوم» صبح روز پنجشنبه در سالن همایش‌های برج میلاد برگزار شد. این همایش فقط یک نشست عادی نبود بلکه در این مراسم شهردار تهران، رئیس شورای شهر پایتخت، معاون برنامه‌ریزی، توسعه شهری و امور شورای شهرداری و نیز تعداد دیگری از کارشناسان در رشته‌های مختلف نظرات خود را درباره الزامات برنامه‌ سوم شهر تهران که باید درنظر گرفته شود مطرح کردند.
2017 Dec 17,برای حل مشکل اقتصاد ایران به یک راه‌حل جامع و به اراده سیاسی نیاز داریم.
2017 Dec 17,مراسم اختتامیه جشنواره سینما حقیقت امروز برگزار می‌شود. فیلم‌های نامزدشده برای دریافت جوایز در ۲ شب گذشته مورد استقبال تماشاگران قرار گرفتند.
2017 Dec 17,اصطلاح «طبقه متوسط»، دیری است که از ادبیات سیاسی و اقتصادی جهان رخت بر بسته است و ایران از معدود کشورهایی است که هنوز این اصطلاح در آن جذابیت دارد.
2017 Dec 17,دون تردید مدیران نهاد دولت در ایران، حتی دولت دوازدهم به ذهنشان خطور نکرده است
2017 Dec 17,هفته گذشته در دومین سالگرد تصویب توافق تاریخی پاریس برای مقابله با تغییرات آب و هوایی یک‌بار دیگر رهبران جهان در پایتخت فرانسه دور هم جمع شدند
2017 Dec 17,«باید در همه شهرهای بزرگ و کلانشهرها کارگروه شرایط اضطراری آلودگی هوا تشکیل شود تا براساس شرایط اقلیمی و وضعیت آلودگی هوا تصمیم‌گیری کنند.»
2017 Dec 17,فاطمه ذوالقدر  و طیبه سیاوشی با تشریح جزئیات دیدار جمعی از اعضای فراکسیون بانوان مجلس با علمای قم، گفتند در این دیدارها درباره 4 موضوع  ورود زنان به ورزشگاه‌ها، پدیده کودک همسری، دیه زنان و مشکلات تحرکی ناشی از محدودیت‌های زنان گفت‌و‌گو شد.
